City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
528,Roald,NO,70.16,clear sky,62.5833,6.1333,Flem Cabins
529,Erenhot,CN,81.54,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
530,Jesus De Otoro,HN,80.26,scattered clouds,14.4833,-87.9833,Hotel Tosta
531,Chake Chake,TZ,73.17,clear sky,-5.2459,39.7666,Pemba Sea View Hotel
532,Luwuk,ID,74.19,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
534,Grand Gaube,MU,72.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
535,Faanui,PF,77.83,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
537,Nishihara,JP,84.25,scattered clouds,26.1842,127.7558,Minshuku Agaihama
539,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
542,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
546,Yazd,IR,87.91,clear sky,31.8972,54.3675,Mozaffar Traditional Hotel
548,Carbonia,IT,85.15,clear sky,39.1672,8.5222,Lu 'Hotel
550,Hami,CN,75.58,few clouds,42.8,93.45,Laoyutang Resort
551,Evanston,US,73.4,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
555,Cedar City,US,72.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
557,Lander,US,72.99,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
559,Mandan,US,74.37,clear sky,46.8267,-100.8896,Twin City Estates
560,Apollonia,GR,85.59,clear sky,36.9716,24.7231,Hotel Anthousa
562,Riviere-Au-Renard,CA,84.49,scattered clouds,48.9957,-64.3971,Auberge Le Caribou
563,La Rioja,ES,87.58,clear sky,42.25,-2.5,Casa Concejos
567,Enid,US,87.03,overcast clouds,36.3956,-97.8784,Ramada by Wyndham Enid
568,Antigonish,CA,77.83,clear sky,45.6169,-61.9986,Claymore Inn and Suites
569,Misratah,LY,83.23,clear sky,32.3754,15.0925,Almasa Hotel
571,Porto Novo,BJ,80.08,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
574,Gat,IL,88.39,clear sky,31.61,34.7642,OlusHome
575,Bubaque,GW,77.58,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
577,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
579,Oktyabrskoye,RU,82.54,few clouds,43.0645,44.7417,Prolesok Mini-hotel
584,Kaspiyskiy,RU,78.8,overcast clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
586,Poltava,UA,76.57,light rain,49.5937,34.5407,Yavir
593,Jining,CN,71.42,clear sky,35.405,116.5814,Yunhe Star Hotel
594,Serrinha,BR,78.53,broken clouds,-11.6642,-39.0075,Hotel Serra Sol
596,Mabaruma,GY,78.8,broken clouds,8.2,-59.7833,Monty Brooms Guest House
597,Carutapera,BR,84.24,scattered clouds,-1.195,-46.02,Lidera
600,Kigoma,TZ,80.44,clear sky,-4.8769,29.6267,MJI Mwema Lodge
605,Mao,ES,84.76,few clouds,39.8885,4.2658,ARTIEM Capri
606,Mahibadhoo,MV,81.55,overcast clouds,3.7833,72.9667,Omadhoo Inn
608,Sept-Iles,CA,77.52,few clouds,50.2001,-66.3821,Comfort Inn
610,Gorontalo,ID,73.58,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
611,Zlitan,LY,82.81,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
613,Waingapu,ID,73.56,clear sky,-9.6567,120.2641,Pondok Wisata Elim
614,Bereda,ES,86.14,broken clouds,43.2686,-7.5406,Pazo de Verdes
615,Sterling,US,86.74,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
616,Horsham,GB,77.02,scattered clouds,51.064,-0.3272,Springfields Hotel
617,Aleksandrovskoye,RU,82.8,overcast clouds,44.7142,43.0008,Mini hotel Tranzit
620,Lao Cai,VN,76.42,scattered clouds,22.4833,103.95,Legend Hotel
621,Bridge City,US,87.8,thunderstorm,30.0208,-93.8457,La Quinta Inn & Suites by Wyndham Bridge City
623,Russell,US,87.96,broken clouds,32.3502,-85.1999,Macs
624,Iacu,BR,80.58,overcast clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
625,Port Arthur,CN,72.91,clear sky,38.8,121.2667,Friendship Hotel
630,Joao Pinheiro,BR,81.79,few clouds,-17.7425,-46.1725,Hotel Santos
631,Upata,VE,82.8,overcast clouds,8.0086,-62.3989,Posada Villa Nela
632,Saint-Joseph,RE,70.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
633,Margate,GB,75.69,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
634,Ploemeur,FR,71.62,clear sky,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
635,Ipora,BR,85.77,clear sky,-16.4419,-51.1178,Oásis Motel
636,Muisne,EC,78.31,overcast clouds,0.6,-80.0333,Quinta Samay
640,Lincoln,US,73.31,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
